policy,metric,metric_type,count,mean,std_dev
agent,exact_match_predicted_outcome,binary,33,0.0,0.0
graph,exact_match_predicted_outcome,binary,30,0.06666666666666667,0.2537081317024625
agent,f1_no_predicted_outcome,continuous,33,0.0,0.0
graph,f1_no_predicted_outcome,continuous,30,0.0,0.0
agent,f1_unknown_predicted_outcome,continuous,33,0.38026066316243184,0.4793309152276733
graph,f1_unknown_predicted_outcome,continuous,30,0.49185515774454036,0.5003288401767431
agent,f1_yes_predicted_outcome,continuous,33,0.16522366522366522,0.24914389940032022
graph,f1_yes_predicted_outcome,continuous,30,0.26857142857142857,0.36795478853454905
agent,macro_f1_predicted_outcome,continuous,33,0.18182810946203234,0.23387919419335718
graph,macro_f1_predicted_outcome,continuous,30,0.25347552877198964,0.27137337105802306
agent,macro_precision_predicted_outcome,continuous,33,0.20132225936714235,0.26617378610915055
graph,macro_precision_predicted_outcome,continuous,30,0.26927574082878125,0.2899093022287201
agent,macro_recall_predicted_outcome,continuous,33,0.17612915813091407,0.22571496803556818
graph,macro_recall_predicted_outcome,continuous,30,0.24846519038792964,0.2676753883633663
agent,outcome_match,binary,33,0.3939393939393939,0.49619766344887317
graph,outcome_match,binary,30,0.5,0.5085476277156078
agent,precision_no_predicted_outcome,continuous,33,0.0,0.0
graph,precision_no_predicted_outcome,continuous,30,0.0,0.0
agent,precision_unknown_predicted_outcome,continuous,33,0.3842698084044573,0.4840430500575021
graph,precision_unknown_predicted_outcome,continuous,30,0.4911605558196771,0.49963465440264077
agent,precision_yes_predicted_outcome,continuous,33,0.2196969696969697,0.36847222460184204
graph,precision_yes_predicted_outcome,continuous,30,0.31666666666666665,0.4273907290162506
agent,recall_no_predicted_outcome,continuous,33,0.0,0.0
graph,recall_no_predicted_outcome,continuous,30,0.0,0.0
agent,recall_unknown_predicted_outcome,continuous,33,0.37687232287759065,0.4758618305835282
graph,recall_unknown_predicted_outcome,continuous,30,0.49261779338601114,0.5011587286348211
agent,recall_yes_predicted_outcome,continuous,33,0.15151515151515152,0.22190634114964863
graph,recall_yes_predicted_outcome,continuous,30,0.25277777777777777,0.36388925448199005
agent,slot_accuracy_any_valid,continuous,33,0.9406926406926407,0.037478090899410024
graph,slot_accuracy_any_valid,continuous,30,0.9514285714285715,0.04971417247028606
agent,slot_accuracy_predicted_outcome,continuous,33,0.3683982683982684,0.4651743909293586
graph,slot_accuracy_predicted_outcome,continuous,30,0.4838095238095238,0.49235868751926964
